filename,label,top right x,top right y,bottom right x,bottom right y,bottom left x,bottom left y,top left x,top left y
jKzKzrxJUElOceywx7oJybRlcJ1RCrB,3LV61203,639.04047,441.41226,639.8035,484.02493,378.89774,489.8083,378.13464,447.1956
mjIaC9r28tondFWfYKBCHwcSQ6lCaO5u,2FV594022F,807.7283,446.9389,808.5122,493.59076,454.30618,500.95837,453.52225,454.30655
n2yxKDFUoug8nPGXkcTbVBqxfYoTDVY,2FW15305E,694.3591,451.77585,695.08167,492.7297,426.84692,498.58832,426.1243,457.6345
WMiiINOCzfd6GjNfm3eblX87J=Lv2ajD,1W6423012A,745.3446,432.348,746.04224,483.1484,366.5615,489.59882,365.86386,438.79843
oECa=KKXQl6E1Rwvc26T8HrjTIg9tJ,2FS221032A,767.3616,416.7075,768.6425,468.99823,440.63052,478.94382,439.34955,426.65305
UaOZCHpo4WCUPFvjJht1xjzjBHYT3Mjk,6SU537062T,816.8025,422.71036,817.7821,472.273,480.74335,480.51852,479.76376,430.9559
fUU=mwXM2ogvLfvFPVfcKf=6wMsrcvh,2FU873032F,711.4682,427.36707,712.0929,478.4657,363.22647,483.7447,362.6018,432.64603
yuv259KnEv9KInWzjj69tWHv6lKlLgl,3LN964063A,788.45874,444.25775,789.26483,489.99625,466.78363,497.03113,465.97754,451.29263
mDFEOLfZhyDCGQMGopWvr8JdneC1iJ5,4NZ298051F,963.93604,517.6143,966.457,596.144,405.62683,618.42804,403.10593,539.89844
9SePTjJVVxV=O=DoYd5fdqSk18FYi1N_,3LU722033H,866.9367,431.07812,868.0267,484.84808,494.1375,494.22845,493.0476,440.4585
SGFrryfYVolzH1kbbs2waCuwOGaT,2FR801011F,762.3623,420.67508,763.2795,469.31186,434.35754,476.98975,433.44034,428.35297
96P9sJVlWZoQuIT_nriH_zzRCsVd4dlT,3LS724044A,865.6987,474.98538,867.3578,538.3582,396.279,553.6232,394.6199,490.2504
LgJfkcr_CXo5jvzUcBtzIbxzTI8qdh,2FX484022H,848.4302,432.73392,849.3717,483.14078,452.85925,492.3081,451.9177,441.90125
rlvTNPL3kw8Bnlfn4NPewzJHBiQ6,3LQ613022F,714.52246,431.80386,715.6989,484.15634,352.9073,494.24695,351.73087,441.8945
lvV_DI8jOoSbXtmNsJldR74=W8Z4==W,2FU97404,655.8919,415.39008,656.73627,453.42053,434.3259,459.53235,433.48157,421.50195
fqo=EqMygL1V=2_Eu9wv8hMMG6zVdt,1WA715012A,851.6086,429.1273,852.25555,481.43695,486.08627,487.04303,485.43927,434.73337
JMxDBIBxt5dSiUEhy=MmxrdxSBG1rBzn,3LN99501,640.4598,430.6092,641.1694,469.34125,411.21072,474.55548,410.50116,435.82346
kcK1gjXO2kpVf4MDmBOO=TCL4EikgQM,3LM163042Y,709.91754,425.3283,710.77893,474.88113,366.68604,482.28442,365.82468,432.7316
l9P9QS3iEKC3qtu=R7CdYaGeZ5hkEmy,3LM511014F,769.9696,421.78833,770.9537,467.15363,434.5299,476.18658,433.5459,430.8213
EkyB87x25RFIWnhLSnmccJO22UrcqU1,2FN972021Y,759.79877,436.25946,760.17236,495.63684,398.07275,498.45682,397.69913,439.07947
TIcoMQvsuWuDUymzciGiNQBmqGrUMF,2FY104032K,846.9949,473.89697,847.4207,532.16034,391.17258,536.2872,390.74683,478.02377
6Yr2xqbV_4Y=IEIqGWJS5qxGcncayrO,3LP833042X,943.96454,488.3402,944.91895,546.54083,520.71625,555.15155,519.76184,496.9509
GkoSzNFV1T6MOvfO6w3XT_y88UmNueT,2FU624022A,801.3763,421.92636,802.04285,467.815,445.10455,474.2332,444.43793,428.34454
JX8_QpKQ5h_7yWLBEKsR6sPSIzyvcgo,2FW373043T,839.2514,460.0752,840.1921,508.83878,454.4497,518.0491,453.50903,469.2855
KKSfoMl=nd1L47nF96ftoyHDVmZj4mZ,5KZ312062A,877.79047,489.9991,878.1619,557.75006,395.3085,561.02673,394.93704,493.27582
nhnuW7Ow=kyHCGOYTUNoazVFsX_Efh,2FS093031F,711.48,436.9,711.48,507.14667,344.96,507.14667,344.96,436.9
HVCqXTSVfWYxqPtxqV4hJNaX_q3j,6SQ479012T,829.03815,422.2597,830.0721,472.15112,496.13837,480.71643,495.10443,430.825
ddkUSd9QSCq3rWzi1P38oZnseDc4ucX3,2FU864024F,828.4099,425.64456,829.6341,474.55884,468.3114,485.75156,467.08722,436.83728
wEto5QVpXurQTFgyCzHZiYuTTwfQRQW,3LL152021Y,823.8652,477.87482,824.15656,550.5141,368.1675,552.7789,367.87613,480.13956
RR_=Zy_4CXK_NOF_Xyor8NG8=xhO8UuI,4NW668023F,839.22345,431.83545,840.41833,484.20673,484.7494,494.25052,483.55453,441.87924
iGCGNJ14x9q7IZb5cLMlewEt8IiLk4,5LN090021F,953.7938,552.57733,953.7938,647.42267,312.5567,647.42267,312.5567,552.57733
VB=rnP42vuw=vX3Hd3XhRim7tE8nIPcC,3LG41404,752.8469,453.66513,753.61127,491.6177,512.87665,497.61887,512.1123,459.6663
yO3ohpfiQ3oo2pDfZ4H6R7CWyP5mBJL,3LP301032A,822.3215,416.89618,822.91626,461.12955,472.88394,466.95627,472.2891,422.72293
cpYOpbwc6FCBMeyOOurpzrqvdE5ZYzD,1W4721013F,806.37115,425.7732,806.37115,473.19586,450.70102,473.19586,450.70102,425.7732
vSniTMaSCFZM1keLujxGM6UQMYrwdpg,2G0853023F,785.3862,490.65552,786.10144,546.6486,365.00388,553.3063,364.28867,497.3132
ZjztOfT9kMESb7VcJb5fD6fom9ijWMS,2FU97401,748.33844,420.96838,749.0435,460.18808,519.0287,465.306,518.3236,426.0863
l9pnMTep9N2elhTPlroE9FH3xYOpk,1W5812013F,800.23065,420.283,800.8113,466.29678,454.09067,471.7116,453.5101,425.6978
d6pKhR8QQiB3_aKs3PBlTSbUIo7_vRD,2G047401,720.60284,462.69934,721.54425,505.99115,469.74777,512.76917,468.80634,469.4774
QXwjHz8c7=RUkPVvGihSGySkfWoNopB,3L9833023A,793.0216,458.88712,793.5948,511.00095,409.3691,516.23236,408.79593,464.11853
Y2MFX4Ix6Z87XDyi6_1PD4ua4nRMssEm,1W7145021A,724.92786,425.7732,724.92786,488.6598,369.25772,488.6598,369.25772,425.7732
52CvrYaQNtL5qPlx9m9VV6a6ldRjoy,3LV27301,674.5308,430.32944,675.7427,476.065,422.08322,484.38467,420.87134,438.6491
Ph9_r7CHJqFqoEU8=5dfBQTdCibERRIj,2FV283072T,902.41864,462.99054,903.2972,517.4096,523.73926,524.9941,522.8608,470.57504
XwSajBd4rXL98F7Oa1beu8EUa8PQCwx8,1WA012023H,993.2181,500.17612,994.37744,574.55994,454.36475,584.9783,453.2054,510.59448
2KhxSzFBOonituZdK5wk4rxKqid6aQ8,1W7684043A,883.86633,466.68387,884.9611,519.11414,480.65192,529.56366,479.55716,477.1334
lCUNRDizp_vFhqdYoNUlMNvQ_xYGaaYr,1W1972011H,791.55286,437.76245,791.9793,488.71976,429.6676,492.47272,429.24115,441.51535
w_P8cpHRfDwXLKsZfRYhnzmCuBB18Oak,2FT86203,736.14514,427.3835,736.5494,469.07834,499.98053,471.91763,499.57626,430.22278
a6k_6K3zxvw7S7KTJ9oVg9z3NIXL,3LV574033A,846.9858,427.2799,847.8067,488.16663,475.8957,494.37317,475.07477,433.48648
6K1qu1x1LbpcSNp28RSeSwwbDYNwSc,3LP382013F,1165.3264,593.5146,1167.7577,718.3613,333.1921,738.4773,330.76086,613.6306
aW5NvHW12quKH6khMq==qofmbNYEgtOX,2G1594042A,853.13385,478.25275,854.1581,536.2515,437.5584,545.35803,436.53415,487.35922
FyFjT=614aDwFIlmJzcBdySsD=9=opjW,1W9551023Y,834.6086956521739,465.39130434782606,834.6086956521739,528.4347826086956,395.47826086956525,528.4347826086956,395.47826086956525,465.39130434782606
G_BGZOPdHgcp9T1CeJSmC6gebJ2tDoZ,2FW506011F,745.3052,429.74173,746.95386,490.41293,376.11792,502.88623,374.46927,442.21506
6lPW1tro=FB8b5xdtdy4IzDlPKd18R,2G046302,764.001,461.2461,764.9362,507.94333,502.11783,514.45844,501.1826,467.76123
RYzH_8RLnxsmZB6SVnRmffw=QLj1nd,3LN996033K,733.0052,426.35226,733.88055,476.2884,351.16275,484.59247,350.28738,434.65637
C3aivCNa3LeICTPT8nITtfbIvFOnUt9,2FM574023K,919.84045,515.6991,920.93915,580.0257,439.01813,590.2153,437.9194,525.8886
dj4FOu=DkXBsM1xfGTPPWCTsdmlio,1W687404,683.5891,425.58548,684.457,467.08255,445.10416,473.27844,444.23633,431.78137
3PZF5hs8wDEnmgNkBaTvMiunFxPp,3LS25501,635.88245,437.04752,636.79675,478.3457,391.24026,485.07437,390.326,443.77618
IqJNBagQzx2HN=MH5Oxogwp_z=sQqnk,3LP005022F,862.34375,446.84552,863.16754,501.93875,454.24942,509.50684,453.42566,454.41364
EtXUIikVXI8QNrhIUSpmOMM35sXJEfL,1W904304,1116.2415,659.3463,1116.3921,756.60443,486.66867,757.8118,486.51804,660.5537
PX_wmU3wfQwmegHn7UOGWrrI64x4CFC,2G0864013F,725.311,481.2189,726.0859,532.94714,334.39304,540.21,333.61813,488.48175
2glPwCEdgz8Pert4s4KPVa=BXBqeDfzw,1VV0601016,551.32,556.8334,551.32,608.23334,237.15999,608.23334,237.15999,556.8334
TMCqVwUElTE2nitQlzJYL6Ri_SKIXUr,3LS06503,651.32434,446.1418,651.9189,488.76694,392.7212,493.24173,392.12665,450.6166
C23_qjBvlQVVxu5xwyygSsJbQ3lgpr,2FW101011T,919.9442,528.70905,920.49316,617.0589,322.59567,621.65686,322.04678,533.30707
rasTHTdjp6F1rFiopLT3PEJ9TMi_d9=2,2FV182013H,796.10913,424.3761,797.0004,474.17316,434.0024,482.21518,433.11108,432.41812
3TTMK4ljevSn2NgQR4TypzcVEU7toJ,2FV583042Y,816.9781,447.17703,817.7954,497.28336,477.43515,504.15552,476.61777,454.0492
5scu1b_XOpymrPzoyTuK84mHo96ogkk,1WB493023F,923.9675,472.16702,924.7791,533.01276,461.85974,540.65424,461.04822,479.80853
BTY7TEQ5OxNnnlmCZgyVHQ5Ix8yz1M,2FY40203,723.6246,444.3172,724.37317,492.75003,422.02673,498.534,421.27817,450.10117
ENX9INqEuQYRYZNcmcipVyuFw14MPj5=,2FW774013A,811.56177,444.1881,812.33795,498.56656,384.9184,506.11847,384.1422,451.74
C8gFtXEX7h6TbwfFwdzwuSVHdi2kzO9,3LS484043K,749.95996,435.18704,750.54376,485.19904,379.0265,490.56702,378.4427,440.55502
Xf_6Np2NavNqt4tUFM2uKIFYHnK=Te,3LR731011A,760.7527,488.6128,761.0836,551.6123,281.827,554.7283,281.4961,491.72876
dPn3qze9lviGoYO2qIhm2oTe4PQplxf,2FQ54402,688.26965,422.79984,688.77106,460.05405,458.93723,463.8823,458.43588,426.62805
8xZEWyWTbfgyILayVj8QCgko4QCkLfZI,3LM751014H,777.69824,422.8412,777.9337,469.98495,443.52435,472.05185,443.2889,424.90808
UuvDr6PPcNNgkffh_sXBDfUuGXm5EjZn,1W7293023T,786.93005,449.77036,787.47437,495.66058,455.87454,500.5287,455.3302,454.63846
us1f=rBRfb3I7RZJ48=LTGFUeE_lel,2FN663022A,828.4889,448.4075,829.1746,496.85516,497.3182,502.66937,496.63242,454.22168
xIBB=RIgeRy7nWuJJlUplWlCcHi37b5O,3LP005031F,731.92206,470.97708,733.1996,538.7258,283.44257,549.2232,282.16504,481.4745
N8klsEqStLX5JVqZRQmw1Iugk1_8BXK,2G1414034T,819.2378,475.33737,820.1158,530.9339,423.45572,538.6875,422.57776,483.091
2KN5ZYmNj5pP6N4N=j4sELTmiRfMCNOM,3LL343021H,788.4688,451.35422,789.3371,526.7505,372.96677,532.68567,372.09845,457.2894
U2RnLFHvVeWwhtCjReBN5tJIyCGmZluf,1W794401,678.89813,442.20963,679.82886,480.39185,457.43433,487.10202,456.5036,448.9198
QoU6O4gjrcID9LNGW1lXqcvlh=4dKnn,3LV61201,678.9925,482.1194,679.6367,531.57227,360.3881,536.7198,359.7439,487.26694
G=VBfR9hQ=EqujZtc6wvYJ=hYOEpu4O,3LN406032F,728.0206,426.80414,728.0206,470.1031,364.1031,470.1031,364.1031,426.80414
PMvmScaLV8H9F4GG8CTKNqEqtJwn=DQ,3LL61201,658.9705,436.20532,659.66046,477.93268,414.16833,482.9565,413.47842,441.22916
L=JR2rCVgL9SiNuuMk=7NyngPFsS=Z,2FR99603E,767.67377,448.2784,767.76624,498.282,498.9607,498.89725,498.8682,448.89362
JtYkfZJ5DaNJn3E1zbTwNMGlBXXq_q,2FR194032A,812.89325,408.62357,814.2767,455.70468,446.5262,469.07956,445.1428,421.99844
YcgZshpVwCGoBe_i1w4Hv34FBrh_Nkg,1W937603,709.90063,426.62085,710.3868,467.18524,478.95395,470.61807,478.4678,430.05368
woP26DaeCsLbU1V5eIG7zdJiCrzJ4tqz,LH6404021T,900.82434,482.19092,901.89056,544.10297,429.73584,554.16785,428.6696,492.25583
ecN5HXTcbIGp=7yhLcrLG89aIClhKOa,3LV503022F,837.72876,455.8592,838.81854,511.62787,417.4259,521.8197,416.33618,466.05106
iDWgq7TEvKpvL1VKCQ9pShtXWOkQJY7,2FS873022F,858.4369,433.87808,859.039,486.91916,463.2066,492.48093,462.60446,439.43985
r8gtyXDHjcEH_CEU=LJ8JHEDo5GNnsbR,3LU324053A,867.0189,534.2298,867.2514,605.3353,361.9028,607.3797,361.6704,536.2742
4nYSMptJZK_GDUsOixmDc9fFsq=yttc,1W7146021X,720.80414,428.86597,720.80414,498.9691,357.9175,498.9691,357.9175,428.86597
a1gZbSoTam=axX29Y7S1M_QqjQhNpgf,2FN744051A,866.2852,431.30566,868.29254,481.10162,552.6556,496.85098,550.6482,447.055
KoYXcwCKgwYjMi__K=L9RoRqD5iN5i,2G0654032L,891.5844,519.72626,892.64764,583.6572,414.46716,593.5008,413.40393,529.5699
JlN5cViBNxJJT1gQuzhwSnUlOiKDIbg,1W892602,772.95703,445.20154,773.48413,490.36362,511.0203,494.15576,510.49316,448.99368
_GkS4tTCM6l5Lwvp_lwo3vCiFJ4OHHP,3LV27402,623.62604,433.61505,624.546,476.97574,368.10797,483.71027,367.188,440.34958
d8mbsDzTlXL2==MP1CLBwqwk=ISPKBG=,5L4298013A,745.35913,428.07986,745.5444,478.22528,419.79633,479.71484,419.61108,429.5694
dbI7FKObg2rongvXJWycQSNvHtgTnq,3LQ161013F,810.99475,428.06116,811.90247,479.66327,428.4108,488.01285,427.5031,436.41074
XaY_Y4gUnTDMkz6fRkotRO6ufOkc_M,1W768303,754.3586,478.09467,755.43286,522.36194,485.1674,530.48016,484.0931,486.21292
255qy=JJxP=aM54TNoQleegDO53XZgf,2FV603012F,831.59357,456.7693,832.03796,504.60074,463.5524,508.83878,463.108,461.00735
tDlTcRs5HfJRwnEh8sk_ZiaG49I_eHw,2G0261022A,883.94196,466.03296,884.59406,527.71967,431.2266,533.6518,430.57446,471.9651
3a9_KYJ9QDvspuP44ETbl2jvmRXMb_j,LJ1584022T,876.74695,439.07388,878.3056,496.09692,485.45688,509.3877,483.8983,452.36465
hTrYF_znFbazFn=Ifdcia4BbCiaMtz,2FV111023H,756.1255,454.06644,756.55457,503.71558,369.6062,507.855,369.17712,458.20587
5JOkLXrjzQOziWZa5mEij5wtCqtwtmP,5LB998063T,897.94507,467.20746,899.50964,529.0607,451.7425,543.07947,450.178,481.2262
DLFMnoFmhi8Gmu9ulKDjBmUqUMpj2jM5,1W7463022A,822.27344,457.11493,823.1175,510.5558,461.7647,517.62024,460.92065,464.17938
9SfGhBeudOM1U6=D55uI_WdqGOomuK,2FW37302,807.12024,465.1431,807.96423,511.3759,540.6024,517.4171,539.7584,471.1843
Zdu58Jjz1MYgy4MZ6ky2v5ZD14zwUOfF,3LS516012F,859.298,439.00067,860.23267,495.411,460.51508,503.60843,459.58035,447.1981
ESwG1LUokyaJLUE1XX7Ga2pZgTPmLH,3LK901022X,777.32153,428.60883,777.8653,476.92075,428.14325,481.7925,427.5995,433.4806
pWNb5Xj4pRqPopHW4rYflZrm7us3tl,3LQ80203,754.5999,448.89328,754.5999,498.57996,463.5399,498.57996,463.5399,448.89328
UOBgXeKjFj5RrquXMMNGuKtbNHRi,3LP263022F,785.3739,450.9081,786.2505,498.22568,420.5674,506.6111,419.69083,459.29355
9WNDdFEZVO7ozcLLRShBFXGYdiOmE,2FM403042X,885.4153,446.93542,886.1994,496.79776,521.7013,503.89276,520.91724,454.03043
wQtQY1iPhRjf=unXuqKG6lh8jX8uSzey,3LE852031H,878.5361,435.05154,878.5361,492.7835,506.37112,492.7835,506.37112,435.05154
Ua4a4QOhwv1atBk5hj6GvHRUSicDReoH,2FU69302,657.6196,426.16745,658.1586,467.7539,415.82837,471.64133,415.28943,430.05487
59dOVum7tsaOeBuSB_W=DJgmbaD6,2FW304011F,818.74225,523.71136,818.74225,660.82477,168.2268,660.82477,168.2268,523.71136
9u8TkBb3UpVsJjmo7RNV72z_q7Sfk6j,2FW223022A,836.1916,467.96512,837.19055,520.40125,462.17322,529.2445,461.17426,476.80838
VY8NixhkJdYgqbQnhkcXPN1DwCgUlSEZ,3LU776032F,865.4058,493.48257,866.1668,563.32446,360.39316,570.145,359.6322,500.30316
qzHf1WFgzjc6TqwRWb=yBK3uCCP3Dxe,1W2992032W,774.5875,427.80246,775.26355,474.58188,434.4158,480.67896,433.7398,433.89954
HKwNQhh3lTxS719RQ=wT87r34eCQUjY,2FR663021,863.8057,439.84204,863.18665,502.68536,446.03827,497.59824,446.6574,434.75488
tVKEKWvkM2=JuoKTrJjK5MknRlNQJL65,1W7454032X,772.26465,452.8858,772.68616,498.87976,411.04388,502.98178,410.6224,456.9878
NCPmytKq7reVpDQSJlHBkoWZtWKpmN,2FW363032A,783.8539,455.0718,784.27386,501.32712,418.8955,505.4332,418.47552,459.1779
HJWHQHNg526sQyzHjC6Jzd_h1GRoVBk,5L014805,537.40753,466.58023,538.2733,513.9816,278.92273,519.84467,278.05698,472.44327
DyW=dp92L=vEHemnQaQHymr2gEeBsnfJ,1W799302,777.8931,455.063,778.493,499.60568,531.3232,503.72565,530.7233,459.18295
xNF5bdh_VHPEZnVMXfmtp6bD48Om_6x,3LT341022L,806.89374,438.22238,807.82104,491.70822,417.37823,500.08734,416.4509,446.60147
FeX=2v=8gE_EdninXfGHY9ZjTtbN=sWd,3LR44601,874.4103,461.44666,875.6883,506.898,592.84375,516.742,591.5658,471.2907
sSusYv8_gIsGGlBvuoo=nULUhElOzWz,3LU214045T,748.389,475.97513,749.83997,534.08844,349.7061,546.4543,348.2551,488.34094
Nkzkf72oBNBlRSJBZKpcyN5NwUyO1oO,3LR552041H,1027.0984,578.5725,1029.029,672.36426,312.90488,690.6099,310.9743,596.8182
S77YqtBMY4sGoawmyhrmyCvlkS2rue,1W9811021X,859.6086956521739,446.9130434782609,859.6086956521739,516.4782608695652,450.9130434782609,516.4782608695652,450.9130434782609,446.9130434782609
zOC=z9ZKO52T_hP36XFgZwY=3Xfomw,3LN115011A,765.33905,413.70398,766.047,459.1825,424.961,465.75494,424.25302,420.27643
pGiHgcp52pPw6GJ1UeKnc4wwZj1b1lS,2FR80V2031,851.5581,431.44562,852.5673,492.3548,494.756,499.69284,493.7468,438.78363
N4MnI3w=JlZ16jtBglc8=QaZf7weGqNH,3LU26302,742.1242,466.24042,743.466,509.41092,477.68875,519.6355,476.347,476.465
zXx7oZIyxxGKEBDsxqiXgkz2Jjc5atfX,3LN255032Y,715.51715,425.14578,716.1947,473.21356,352.53156,479.55917,351.85397,431.49142
r_vgsinrrNc3NDhNimm2an8RFKpiYnrw,2FR141032H,785.27826,424.61423,786.4356,476.27798,432.2295,486.09973,431.07214,434.436
3fzqEt4nDfuq54EkqfpK3OsebBFJ8XNL,3LG324063K,853.844,459.52283,854.6411,507.24582,494.45654,514.6934,493.65933,466.97046
KBS=p=wpJhchV2BCEUL7gvPu_t7xBl,1W886303,680.6515,474.04984,681.2194,519.1316,418.6966,523.2252,418.1287,478.14346
858QT=nsE1J=i2l_gNbahbCnHHWRPiBc,3LR301032K,787.56067,438.14563,788.4831,491.56003,391.3218,500.04932,390.39938,446.63492
P2Bq5rg5EvlwivSlDTqmb9=PciPVLVE,3LP255012A,820.8091,417.1969,821.3967,462.96298,499.0678,468.08594,498.48013,422.31985
Brrxgbw2KQJa=5X1RRIfz_WehX7GDrYN,2G1083022A,830.0505,465.17566,830.59436,514.4869,458.97452,519.55945,458.43066,470.2482
nKfg=w1fh24TwYtmvTRbg3cyIkGUwtj,3LS713011F,860.8391,434.2832,862.0537,494.4239,482.1623,503.92084,480.9477,443.78015
FIhWYtniBLeFN6j2enO6yCIB6lzWCSf,3LT86302,625.1331,490.8117,626.45184,541.96124,328.14716,551.4809,326.82843,500.33136
HdrJy1dub6G7d7M5ae8CtOPF5H5QM=,3LU06403,779.0612,469.61908,779.95074,512.94714,515.94574,519.6562,515.0562,476.32812
Zeqfm4Xm1eiK_XcyIFSXvryz4yQWi,2FW314032A,808.4821,466.5787,809.25665,517.41235,442.03308,524.337,441.25858,473.5034
=Leh2FuIZq9jaWxFVGhIuvsqFG9hfry,3LM522032F,816.18567,422.17627,816.8476,469.3082,462.03647,475.47617,461.3745,428.3442
Cvph2jrqghsMK6Vccg=u=dtvENDLCfKU,3LQ972021H,842.21326,476.97165,843.02423,548.8985,372.65414,555.4629,371.84317,483.53604
x8vIImIFVbKVSgmj=lLORn3LqvoNgCxU,3LM07401,739.1879,426.00314,740.02454,468.38522,503.63916,474.16113,502.80252,431.77905
n6dLKGIEiO74flIsUgLtm_P9HpI3FHU,2FU294042F,779.2114,443.95523,780.19354,495.95245,392.94965,505.0058,391.96753,453.00858
4lTYVVEBoPlXq3DDxS=9bxmst4RXvTa,3LQ052042F,749.9313,443.83414,750.74146,499.44824,340.5224,506.84515,339.71222,451.23102
k6uYh4jklS4dsFMiZpSYN4=2lc5YJjm,4PC057042F,802.3368,432.99673,802.67584,483.15723,449.68835,486.11,449.3493,435.9495
v6=5hh72W5k4shgyF7fQW=nMswhI1T,3LP683033A,771.5354,444.91064,771.9222,492.64838,444.98596,495.9274,444.59918,448.18967
VWp7Xo5bpYQHdkCIsiUZXO84eP=JZm,3LN98602,666.7939,446.4971,667.58215,489.58694,409.67633,495.42685,408.8881,452.337
gP8vbqXfwYEWDjv1ZmFwYxYFuekxO9e,3LN634052L,645.22046,456.30508,645.87506,503.70956,305.0488,509.53473,304.39423,462.13028
pqJQb8yNNpDWpkhJbYntYrza1JHia_,1WB18302,725.2572,481.06378,726.0081,531.121,435.72327,536.5108,434.97235,486.4536
lXNGDqlLUyGiWGBrhrqN5axEu2JK8=D,3LP211033H,831.4906,440.31866,832.65497,495.12558,448.0853,505.23877,446.9209,450.4319
Naeu8NpLlqe=IKbD5wT=pBaZnLCD5qa,2FU901021H,750.23206,484.1282,750.7994,539.90344,311.10355,545.4394,310.5362,489.66412
vgunQXMCTkpoFThyTQVbq7zPNF38PVE7,5L014705,619.78204,488.45578,620.1376,544.8995,326.0433,547.19226,325.68777,490.74854
tXjgpsJQcRur_dqpbUGYz5oW3BGlLq,3LK951012H,788.46515,426.7449,788.8979,472.8752,452.7141,476.7785,452.28137,430.64822
Z6pdT3oovFQbzfn8gp77tXhkdsft3dg,3LL46301,749.7665,424.6054,750.57935,465.88184,509.73572,471.7525,508.92285,430.47604
OMnNhpz3CGSKNhMHbVcClkZSxPt6,1W7242021A,760.76,522.56665,760.76,597.95337,214.75255,597.95337,214.75256,522.56665
496qqQvya4e_jX7llwrganDt4RR_My5,1W7303082T,782.91895,448.6439,784.5116,504.78232,434.56165,517.07117,432.969,460.93274
79pgJQ3niweDtz2w_sGeXmUSIqHLLJ58,1VZ602021F,777.20776,426.06555,777.99854,488.9785,411.23877,494.68433,410.448,431.7714
Hvym=iWNlZVOiLO3hZ7m65ckmKVuzvk,3LS683032F,895.0258,456.82425,896.3504,529.03375,443.7641,539.3097,442.4395,467.1002
OYuKP4yNG9HJhaccVD7syNE9uIm2S52u,4P5502023A,919.36633,446.11075,920.09753,503.56973,525.17365,509.78998,524.44244,452.331
I2o37_86PjG2nh_Es1ENPqzqRzFPKH,3LU003063T,884.6561,502.4882,885.56146,565.1285,432.82834,573.2282,431.923,510.58792
P_CrZR9VHC2VDPPMfW2oGr7YJaQQ2bBC,3LP28302,751.3777,467.0785,752.3792,510.74924,486.6991,518.2909,485.6976,474.62012
KTZUz=jdfO7d2sPsIa7cfnOaSuI5Nmi,3LA58601,643.69305,428.38284,644.4668,476.2307,383.75217,481.44873,382.9785,433.60086
oZ8e6oQkQ6ybJGRp1buuMjGGapO6wc,2FV594032F,777.39105,449.2946,778.0839,496.5404,421.99985,503.00443,421.30692,455.7586
CE6jjHmBnznE1sOeetnlk2zhocXr=9Qo,3LV481012F,874.1845,479.3269,876.01965,568.7937,344.77737,582.28156,342.94223,492.81482
MFSBRg9frG8PX4g76=yhXl5izkbFF=72,313014T,883.9077,446.9973,885.1909,493.39786,628.37244,502.18936,627.08923,455.78882
hM7=btHov64hTIwyYEqv1pji5bJoSmg,2FU544031F,765.6013,424.05103,766.80585,492.00012,414.37155,499.73315,413.16702,431.78403
H7mX7aY4iH=TMQCOa5EnGPsb4Yu7QLe,3LS703033F,883.89655,431.45282,884.5643,488.71542,507.83688,494.15305,507.16916,436.89044
